idPrestamo,carnetUsuario,codigoMaterial,fechaPrestamo,yaFueDevuelto
P001,,LIB001,2026-05-26,true
P001,,LIB001,2026-05-26,false
P001,PROF001,LIB001,2026-05-26,false
P001,0905-25-14179,LIB002,2026-05-27,false
P001,0905-21-2345,REV001,2026-05-27,false
P011,0905-24-56467,LIB001,2026-05-27,false
P002,0905-23-2356,LIB001,2026-05-27,true
P002,0905-21-5699,LIB002,2026-05-27,false
P012,0890-23-23536,LIB002,2026-05-27,true
P013,8943-20-12435,REV001,2026-05-27,true
P014,8943-20-12435,LIB002,2026-05-27,true
P015,8943-20-12435,LIB001,2026-05-27,false
P016,0905-23-2356,REV001,2026-05-27,true
